species,decimalLongitude,decimalLatitude,gbifID,month,year,geometry,elev,bio_03,bio_04,bio_07,bio_08,bio_09,bio_11,bio_14,bio_16,bio_18,cluster
Icterus auratus,-90.41323,20.088066,5396959089,6,1999,"c(-90.41323, 20.088066)",6,66.53153228759766,196.47413635253906,18.5,27.933334350585938,26.016666412353516,23.850000381469727,16,565,398,4
Icterus auratus,-87.64328,21.456984,5395797675,2,2016,"c(-87.64328, 21.456984)",8,70.279388427734375,188.79351806640625,17.299999237060547,26.766666412353516,24.21666717529297,22.78333282470703,29,360,318,2
Icterus auratus,-88.06101,21.120794,5381329269,4,2013,"c(-88.06101, 21.120794)",23,71.367523193359375,187.10516357421875,19.5,27.266666412353516,23.649999618530273,23.083332061767578,38,517,428,2
Icterus auratus,-89.300285,20.947367,5367324039,12,2024,"c(-89.300285, 20.947367)",16,66.877105712890625,203.39308166503906,19.799999237060547,27.049999237060547,25.299999237060547,22.91666603088379,20,453,234,3
Icterus auratus,-88.16082,21.097563,5363273725,2,2024,"c(-88.16082, 21.097563)",23,71.34880065917969,185.35133361816406,19.399999618530273,27.21666717529297,23.683332443237305,23.100000381469727,39,574,471,2
Icterus auratus,-88.56082,18.933493,5360366826,2,2024,"c(-88.56082, 18.933493)",32,73.2723617553711,159.44508361816406,16.399999618530273,26.616666793823242,24.983333587646484,23.299999237060547,20,424,393,2
Icterus auratus,-90.868095,18.615746,5356604501,1,2024,"c(-90.868095, 18.615746)",53,64.74037170410156,210.75442504882813,19.899999618530273,27.616666793823242,26.16666603088379,23.600000381469727,22,714,308,4
Icterus auratus,-87.74599,20.800493,5339307284,6,2021,"c(-87.74599, 20.800493)",22,72.31182861328125,181.6777801513672,18.599998474121094,27.266666412353516,23.58333396911621,23.133333206176758,43,464,438,2
Icterus auratus,-88.468765,21.173319,5334745355,6,2024,"c(-88.468765, 21.173319)",12,71.1139907836914,176.04396057128906,19.299999237060547,27.149999618530273,25.33333396911621,23.399999618530273,36,572,458,2
Icterus auratus,-87.49723,20.290648,5313092884,2,2024,"c(-87.49723, 20.290648)",19,70.382171630859375,169.44876098632813,15.69999885559082,26.799999237060547,24.733333587646484,23.316665649414063,39,496,377,2
Icterus auratus,-90.39653,19.407722,5303566586,4,2024,"c(-90.39653, 19.407722)",16,63.75000762939453,215.34854125976563,19.999998092651367,27.633333206176758,25.96666717529297,23.450000762939453,19,678,287,4
Icterus auratus,-87.15717,20.964302,5300451572,7,2024,"c(-87.15717, 20.964302)",9,67.013885498046875,200.1150360107422,16.80000114440918,26.983333587646484,24.366666793823242,22.883333206176758,42,527,421,2
Icterus auratus,-87.45529,20.184584,5296724089,3,2000,"c(-87.45529, 20.184584)",12,70.74944305419922,159.76483154296875,14.899999618530273,27,25.08333396911621,23.733333587646484,35,500,372,5
Icterus auratus,-88.407278,20.606778,5281908379,2,2023,"c(-88.407278, 20.606778)",32,70.6448974609375,186.28494262695313,19.899999618530273,27.25,23.850000381469727,23.233333587646484,32,549,428,2
Icterus auratus,-87.165253,20.703119,5216188646,5,2025,"c(-87.165253, 20.703119)",16,66.18895721435547,193.0040740966797,15.700000762939453,27.08333396911621,24.600000381469727,23.149999618530273,41,555,421,2
Icterus auratus,-87.681976,21.001025,5168006926,4,2025,"c(-87.681976, 21.001025)",20,71.99821472167969,183.30455017089844,18.599998474121094,27.100000381469727,23.299999237060547,22.866666793823242,40,502,467,2
Icterus auratus,-88.13745,20.400127,5141118767,4,2025,"c(-88.13745, 20.400127)",32,71.44097137451172,179.19432067871094,19.200000762939453,26.733333587646484,23.78333282470703,23.28333282470703,37,504,388,2
Icterus auratus,-88.152757,20.490875,5133108638,4,2025,"c(-88.152757, 20.490875)",31,71.34880065917969,182.0230255126953,19.399999618530273,27.28333282470703,23.799999237060547,23.266666412353516,37,506,395,2
Icterus auratus,-88.960175,20.861153,5108529583,3,2025,"c(-88.960175, 20.861153)",17,68.36650085449219,196.8978271484375,20.10000228881836,27.08333396911621,25.350000381469727,23.066667556762695,21,490,365,3
Icterus auratus,-90.089572,20.608227,5063759318,1,2025,"c(-90.089572, 20.608227)",9,70.8767318725586,175.4663848876953,19.200000762939453,27.616666793823242,26.200000762939453,24.066665649414063,15,468,243,3
Icterus auratus,-87.756607,19.90847,4956788292,8,2024,"c(-87.756607, 19.90847)",3,70.552154541015625,169.6498260498047,16.299999237060547,27.149999618530273,25.066665649414063,23.683334350585938,39,510,408,5
Icterus auratus,-87.651229,20.074931,4953180600,9,2024,"c(-87.651229, 20.074931)",16,70.886077880859375,168.5072479248047,15.799999237060547,26.96666717529297,24.883333206176758,23.516666412353516,38,502,393,5
Icterus auratus,-87.728441,21.229413,4851730105,4,2023,"c(-87.728441, 21.229413)",14,71.07329559326172,187.45249938964844,19.100000381469727,27.11666488647461,24.450000762939453,22.83333396911621,36,430,353,2
Icterus auratus,-88.75811,19.276339,4842132680,10,2023,"c(-88.75811, 19.276339)",74,72.40437316894531,170.5539093017578,18.299999237060547,27.016666412353516,25.05000114440918,23.183332443237305,24,429,345,3
Icterus auratus,-87.85459,18.89773,4842027220,12,2023,"c(-87.85459, 18.89773)",4,70.55961608886719,154.43934631347656,13.69999885559082,26.600000381469727,25.516666412353516,24.183334350585938,35,558,438,5
Icterus auratus,-87.12139,20.591425,4839200870,12,2023,"c(-87.12139, 20.591425)",12,64.597320556640625,187.0884246826172,14.899999618530273,27.333332061767578,25.03333282470703,23.58333396911621,35,573,422,5
Icterus auratus,-89.07507,20.043913,4833765627,12,2022,"c(-89.07507, 20.043913)",72,69.15888214111328,198.41416931152344,21.399999618530273,27,23.649999618530273,22.866666793823242,26,523,412,2
Icterus auratus,-88.25146,21.508018,4826906403,12,2023,"c(-88.25146, 21.508018)",4,71.36627960205078,177.4242401123047,17.200000762939453,26.933334350585938,25.100000381469727,23.33333396911621,21,377,286,3
Icterus auratus,-89.94996,21.199238,4823846782,12,2023,"c(-89.94996, 21.199238)",1,66.82795715332031,187.07630920410156,15.5,27.21666717529297,25.28333282470703,23.433332443237305,14,285,211,3
Icterus auratus,-88.284325,21.244473,4820399050,1,2023,"c(-88.284325, 21.244473)",13,70.703125,186.44346618652344,19.19999885559082,27.233333587646484,25.08333396911621,23.149999618530273,35,542,429,2
Icterus auratus,-90.27197,18.634598,4812125238,7,2023,"c(-90.27197, 18.634598)",64,65.5887222290039,211.99627685546875,20.100000381469727,27.133333206176758,24.33333396911621,23.483333587646484,21,598,274,4
Icterus auratus,-87.79175,18.625425,4804844226,1,2023,"c(-87.79175, 18.625425)",7,68.14515686035156,153.6944122314453,12.400001525878906,26.71666717529297,25.78333282470703,24.366666793823242,29,577,423,5
Icterus auratus,-89.86775,20.758156,4798904076,3,2023,"c(-89.86775, 20.758156)",12,68.579925537109375,191.07899475097656,19.60000228881836,27.316667556762695,25.75,23.450000762939453,22,509,251,3
Icterus auratus,-88.23001,18.593857,4790508892,9,2023,"c(-88.23001, 18.593857)",6,67.84825134277344,162.22122192382813,13.400001525878906,27.350000381469727,25.58333396911621,23.983333587646484,25,484,457,5
Icterus auratus,-90.39876,20.848684,4784758668,7,2023,"c(-90.39876, 20.848684)",1,70.51688385009766,173.32913208007813,15.799999237060547,27.96666717529297,25.766666412353516,24.066667556762695,8,381,273,3
Icterus auratus,-90.01437,20.438253,4773823693,6,2023,"c(-90.01437, 20.438253)",25,68.75000762939453,193.28887939453125,19.999998092651367,27.36666488647461,25.816665649414063,23.46666717529297,20,524,273,3
Icterus auratus,-88.16584,18.925327,4772039117,9,2004,"c(-88.16584, 18.925327)",5,72.43150329589844,152.54592895507813,14.600000381469727,27.183334350585938,25.316667556762695,23.933334350585938,38,519,451,5
Icterus auratus,-89.11738,21.356756,4770714147,1,2023,"c(-89.11738, 21.356756)",0,70.1388931274414,182.51815795898438,16.799999237060547,27.33333396911621,25.049999237060547,23.233333587646484,16,333,262,3
Icterus auratus,-87.58147,19.081087,4744761193,12,2023,"c(-87.58147, 19.081087)",10,69.642852783203125,151.5844268798828,12.600000381469727,26.700000762939453,25.600000381469727,24.366666793823242,34,572,424,5
Icterus auratus,-88.9178,19.85503,4729214097,4,2023,"c(-88.9178, 19.85503)",43,69.31644439697266,199.53875732421875,21.69999885559082,27.28333282470703,23.899999618530273,23.100000381469727,29,523,419,2
Icterus auratus,-89.88198,20.485258,4725472292,10,2023,"c(-89.88198, 20.485258)",34,67.71845245361328,200.28768920898438,20.599998474121094,27.183334350585938,24.016666412353516,23.183332443237305,23,540,282,3
Icterus auratus,-87.55261,20.165983,4724231708,3,2023,"c(-87.55261, 20.165983)",2,70.80644989013672,164.18478393554688,15.500001907348633,26.96666717529297,24.96666717529297,23.600000381469727,38,494,378,5
Icterus auratus,-87.951164,20.799763,4713067283,3,2023,"c(-87.951164, 20.799763)",21,72.56944274902344,179.5511932373047,19.200000762939453,27.366666793823242,23.866666793823242,23.366666793823242,38,462,378,2
Icterus auratus,-89.74153,20.789938,4712929427,4,2023,"c(-89.74153, 20.789938)",14,67.375,198.1213836669922,20,27.21666717529297,25.600000381469727,23.233333587646484,23,519,250,3
Icterus auratus,-86.72704,21.21969,4701197887,7,2023,"c(-86.72704, 21.21969)",5,63.1796760559082,187.3676300048828,14.099998474121094,27.516666412353516,24.71666717529297,23.600000381469727,37,495,398,5
Icterus auratus,-89.32111,20.74336,4698944239,2,2023,"c(-89.32111, 20.74336)",18,67.31707763671875,202.83592224121094,20.499998092651367,27.083332061767578,23.83333396911621,22.983333587646484,21,485,379,2
Icterus auratus,-88.40558,18.657244,4671268020,7,2023,"c(-88.40558, 18.657244)",3,70.14839935302734,162.85044860839844,14.600000381469727,27.383333206176758,25.183332443237305,23.53333282470703,26,426,422,5
Icterus auratus,-90.319786,19.026741,4666624624,2,2023,"c(-90.319786, 19.026741)",48,64.460784912109375,219.343017578125,20.399999618530273,27.483333587646484,25.78333282470703,23.183334350585938,18,620,269,4
Icterus auratus,-88.395966,18.095745,4655511622,4,2023,"c(-88.395966, 18.095745)",24,67.99516296386719,167.52658081054688,13.80000114440918,27.049999237060547,25.183334350585938,23.53333282470703,33,580,558,5
Icterus auratus,-88.22438,17.513975,4643254365,3,2023,"c(-88.22438, 17.513975)",4,63.30531311035156,157.69650268554688,11.900001525878906,27.299999237060547,25.700000762939453,24.149999618530273,46,663,558,5
Icterus auratus,-86.9408,20.937183,4618986764,9,2023,"c(-86.9408, 20.937183)",8,63.83647155761719,201.19903564453125,15.900001525878906,27.383333206176758,24.71666717529297,23.266666412353516,44,512,391,2
Icterus auratus,-88.54455,20.828299,4609246186,7,2023,"c(-88.54455, 20.828299)",28,70.07575988769531,190.25254821777344,19.799999237060547,27.21666717529297,23.83333396911621,23.149999618530273,32,578,454,2
Icterus auratus,-88.413475,21.374722,4368556024,10,2018,"c(-88.413475, 21.374722)",7,70.721923828125,182.72503662109375,18.700000762939453,27.28333282470703,25.266666412353516,23.30000114440918,29,473,367,2
Icterus auratus,-87.433304,21.210438,4366223552,5,2022,"c(-87.433304, 21.210438)",16,69.79166412353516,196.33526611328125,18.400001525878906,26.549999237060547,23.91666603088379,22.433334350585938,39,513,455,2
Icterus auratus,-90.65465,18.7852,4360840647,3,2022,"c(-90.65465, 18.7852)",76,64.49829864501953,215.60125732421875,19.600000381469727,27.350000381469727,25.71666717529297,23.149999618530273,20,685,288,4
Icterus auratus,-87.73745,21.525213,4360236625,7,2022,"c(-87.73745, 21.525213)",2,70.063690185546875,187.46311950683594,15.700000762939453,26.94999885559082,24.266666412353516,22.94999885559082,25,327,278,3
Icterus auratus,-88.19902,18.209017,4351785947,6,2022,"c(-88.19902, 18.209017)",11,65.67459869384766,160.36122131347656,12.600000381469727,27.41666603088379,25.566665649414063,24.03333282470703,29,555,496,5
Icterus auratus,-87.907074,18.026096,4351661211,11,2022,"c(-87.907074, 18.026096)",7,63.22629928588867,152.12322998046875,10.899999618530273,26.950000762939453,26,24.616666793823242,34,566,403,5
Icterus auratus,-87.6402,18.891768,4347868900,12,2022,"c(-87.6402, 18.891768)",2,69.220428466796875,149.37747192382813,12.399999618530273,26.816665649414063,25.75,24.5,32,581,423,5
Icterus auratus,-89.132904,20.942081,4337385287,9,2022,"c(-89.132904, 20.942081)",12,67.74461364746094,199.9185333251953,20.099998474121094,27.133331298828125,25.350000381469727,23.03333282470703,20,463,352,3
Icterus auratus,-87.81085,20.00195,4330309570,1,2020,"c(-87.81085, 20.00195)",10,70.6087875366211,170.63328552246094,16.69999885559082,27.016666412353516,24.983333587646484,23.53333282470703,39,504,410,5
Icterus auratus,-86.945076,21.255795,4329627826,10,2022,"c(-86.945076, 21.255795)",11,66.20934295654297,208.38621520996094,16.400001525878906,27.116666793823242,24.299999237060547,22.83333396911621,40,485,403,2
Icterus auratus,-88.47099,18.403303,4323298589,5,2022,"c(-88.47099, 18.403303)",12,68.4523696899414,172.03933715820313,15.400001525878906,27.516666412353516,25.266666412353516,23.46666717529297,23,511,511,5
Icterus auratus,-87.75384,21.34191,4319349539,2,2022,"c(-87.75384, 21.34191)",13,71.33152770996094,187.77960205078125,18.39999771118164,26.650001525878906,24.366666793823242,22.78333282470703,32,380,356,2
Icterus auratus,-88.048645,19.589243,4310140109,1,2017,"c(-88.048645, 19.589243)",13,70.25252532958984,172.64598083496094,16.5,27.266666412353516,25.28333282470703,23.766666412353516,38,533,406,5
Icterus auratus,-88.73074,20.706907,4295948768,1,2022,"c(-88.73074, 20.706907)",28,69.5,189.88436889648438,20,27.133333206176758,23.883333206176758,23.16666603088379,28,538,411,2
Icterus auratus,-90.06288,20.86493,4294794535,1,2022,"c(-90.06288, 20.86493)",7,69.4293441772461,182.13539123535156,18.400001525878906,27.53333282470703,25.96666717529297,23.766666412353516,14,423,204,3
Icterus auratus,-87.349174,21.274958,4294262202,5,2022,"c(-87.349174, 21.274958)",8,69.3031997680664,197.2864990234375,17.700000762939453,26.683332443237305,23.950000762939453,22.516666412353516,38,497,448,2
Icterus auratus,-88.290054,18.084333,4288843915,5,2022,"c(-88.290054, 18.084333)",17,66.9211196899414,166.52645874023438,13.100000381469727,27.183334350585938,25.299999237060547,23.683334350585938,35,581,535,5
Icterus auratus,-87.526825,20.897635,4276613166,10,1991,"c(-87.526825, 20.897635)",22,70.92491149902344,185.80853271484375,18.19999885559082,26.649999618530273,24.33333396911621,22.83333396911621,44,559,475,2
Icterus auratus,-92.09102,18.25438,4272775396,11,2022,"c(-92.09102, 18.25438)",5,62.52408218383789,204.8595428466797,17.30000114440918,27.75,26.299999237060547,23.91666603088379,35,815,507,4
Icterus auratus,-88.775604,19.878832,4252670678,8,2022,"c(-88.775604, 19.878832)",14,69.575469970703125,194.39881896972656,21.19999885559082,27.483333587646484,24.08333396911621,23.366666793823242,30,547,435,2
Icterus auratus,-90.449234,19.509584,4244771998,1,2022,"c(-90.449234, 19.509584)",49,63.959388732910156,213.6887664794922,19.700000762939453,27.483333587646484,25.799999237060547,23.299999237060547,18,695,289,4
Icterus auratus,-88.46017,19.362133,4221850145,2,2022,"c(-88.46017, 19.362133)",28,73.19046783447266,165.9197235107422,17.500001907348633,26.883333206176758,25.21666717529297,23.58333396911621,33,524,390,2
Icterus auratus,-90.69931,19.528841,4207767908,5,2022,"c(-90.69931, 19.528841)",0,64.03985595703125,203.71920776367188,18.399999618530273,27.683334350585938,25.983333587646484,23.649999618530273,15,672,261,4
Icterus auratus,-88.93462,19.629251,4195595686,1,2022,"c(-88.93462, 19.629251)",61,69.89379119873047,191.45919799804688,20.399999618530273,27.149999618530273,23.799999237060547,23.03333282470703,27,474,383,2
Icterus auratus,-90.43779,19.639183,4190806280,9,2022,"c(-90.43779, 19.639183)",29,64.44444274902344,210.7058868408203,19.5,27.616666793823242,25.96666717529297,23.516666412353516,19,666,280,4
Icterus auratus,-88.083305,19.72291,4179329856,2,2008,"c(-88.083305, 19.72291)",21,71.03175354003906,170.7314910888672,16.799999237060547,27.133333206176758,25.116666793823242,23.666667938232422,38,523,445,5
Icterus auratus,-87.957163,21.456244,4103390624,5,2023,"c(-87.957163, 21.456244)",8,71.31675720214844,183.66790771484375,18.100000381469727,26.866666793823242,24.850000381469727,23.133333206176758,27,351,282,3
Icterus auratus,-87.812933,19.723165,4075893126,3,2023,"c(-87.812933, 19.723165)",10,70.36458587646484,166.8213348388672,16,27.333332061767578,25.316665649414063,23.91666603088379,37,523,425,5
Icterus auratus,-87.775192,19.352836,3822106409,5,2008,"c(-87.775192, 19.352836)",1,69.580413818359375,157.54989624023438,14.30000114440918,27.633333206176758,25.549999237060547,24.33333396911621,36,540,437,5
Icterus auratus,-86.919215,21.045035,3760378540,4,2022,"c(-86.919215, 21.045035)",17,65.15625,204.73329162597656,16,27.316665649414063,24.600000381469727,23.149999618530273,43,504,397,2
Icterus auratus,-88.317695,20.717302,3698083399,2,2022,"c(-88.317695, 20.717302)",29,70.79124450683594,185.2189483642578,19.80000114440918,27.28333282470703,23.866666793823242,23.266666412353516,31,550,437,2
Icterus auratus,-90.2243,20.031328,3694438041,12,2021,"c(-90.2243, 20.031328)",21,66.37354278564453,197.86883544921875,19.89999771118164,27.733333587646484,26.33333396911621,23.899999618530273,18,596,275,4
Icterus auratus,-87.47884,20.07021,3686951897,1,2019,"c(-87.47884, 20.07021)",1,70.97505187988281,158.94540405273438,14.700000762939453,27.299999237060547,25.299999237060547,24.03333282470703,34,509,381,5
Icterus auratus,-88.400024,19.502224,3684246463,2,2021,"c(-88.400024, 19.502224)",29,71.5823974609375,172.2197723388672,17.799999237060547,26.96666717529297,25.183332443237305,23.53333282470703,33,594,414,2
Icterus auratus,-87.71843,20.508583,3681372227,12,2021,"c(-87.71843, 20.508583)",17,71.07007598876953,182.40969848632813,17.600000381469727,26.600000381469727,24.350000381469727,22.883333206176758,42,500,412,2
Icterus auratus,-89.32605,21.213968,3672987111,5,2021,"c(-89.32605, 21.213968)",7,66.93692779541016,197.461181640625,18.500001907348633,27.19999885559082,25.299999237060547,23.049999237060547,19,361,278,3
Icterus auratus,-88.25693,20.23723,3670057799,4,2021,"c(-88.25693, 20.23723)",31,70.74916076660156,184.17044067382813,19.799999237060547,26.83333396911621,23.866666793823242,23.299999237060547,35,513,390,2
Icterus auratus,-90.37666,20.53573,3660001266,1,2020,"c(-90.37666, 20.53573)",7,70.99812316894531,172.97967529296875,17.69999885559082,27.91666603088379,26,24.16666603088379,10,443,334,3
Icterus auratus,-87.921745,20.893639,3653365604,5,2021,"c(-87.921745, 20.893639)",21,72.89473724365234,177.50587463378906,19,27.299999237060547,23.816667556762695,23.316665649414063,39,458,378,2
Icterus auratus,-88.34603,18.229748,3645913690,7,2021,"c(-88.34603, 18.229748)",14,68.30986022949219,164.89434814453125,14.19999885559082,27.266666412353516,25.516666412353516,23.833332061767578,28,545,477,5
Icterus auratus,-88.633194,21.111277,3638778593,11,2020,"c(-88.633194, 21.111277)",16,71.82540130615234,168.92872619628906,18.89999771118164,26.91666603088379,25.28333282470703,23.383333206176758,40,599,483,2
Icterus auratus,-88.204926,20.745865,3612414774,6,2021,"c(-88.204926, 20.745865)",26,71.319793701171875,184.45045471191406,19.700000762939453,27.33333396911621,23.899999618530273,23.316667556762695,32,532,427,2
Icterus auratus,-88.77184,19.709044,3611288117,4,2021,"c(-88.77184, 19.709044)",53,69.90290832519531,193.26541137695313,20.600000381469727,27.266666412353516,23.816665649414063,23.100000381469727,31,516,414,2
Icterus auratus,-87.3233,20.918785,3610240998,3,2021,"c(-87.3233, 20.918785)",18,69.62208557128906,193.49801635742188,17.200000762939453,26.78333282470703,24.25,22.766666412353516,46,549,444,2
Icterus auratus,-88.6698,21.195415,3597361384,6,2021,"c(-88.6698, 21.195415)",6,71.3157958984375,175.98207092285156,18.999998092651367,27,25.316667556762695,23.316667556762695,34,557,440,2
Icterus auratus,-88.37529,20.196953,3596446780,3,2021,"c(-88.37529, 20.196953)",32,70.279144287109375,185.23123168945313,20.30000114440918,27.333332061767578,23.933332443237305,23.33333396911621,32,519,391,2
Icterus auratus,-88.317924,21.150965,3587154363,1,2021,"c(-88.317924, 21.150965)",15,70.89810943603516,185.30482482910156,19.299999237060547,27.21666717529297,25.08333396911621,23.16666603088379,37,577,463,2
Icterus auratus,-87.137375,20.849428,3579330795,9,2021,"c(-87.137375, 20.849428)",18,66.25514221191406,198.45423889160156,16.19999885559082,27.049999237060547,24.416667938232422,22.96666717529297,43,541,419,2
Icterus auratus,-90.191925,20.142101,3576677629,9,2021,"c(-90.191925, 20.142101)",5,67.47039031982422,189.24642944335938,19.700000762939453,27.75,26.399999618530273,24.066665649414063,19,570,272,4
Icterus auratus,-88.262665,19.4504,3573478654,2,2021,"c(-88.262665, 19.4504)",37,72.15568542480469,165.8975067138672,16.700000762939453,26.96666717529297,25.116666793823242,23.599998474121094,35,554,476,5
Icterus auratus,-88.86155,19.928818,3565146234,4,2021,"c(-88.86155, 19.928818)",36,69.6483154296875,196.70582580566406,21.80000114440918,27.349998474121094,24,23.233333587646484,27,536,426,2
Icterus auratus,-89.64459,20.870857,3564797684,6,2021,"c(-89.64459, 20.870857)",13,67.04544830322266,197.29373168945313,19.80000114440918,27.183334350585938,25.549999237060547,23.21666717529297,23,504,242,3
Icterus auratus,-88.06927,18.976461,3563819000,8,2021,"c(-88.06927, 18.976461)",11,72.240997314453125,154.5980682373047,14.799999237060547,27.16666603088379,25.33333396911621,23.899999618530273,38,554,459,5
Icterus auratus,-88.46346,18.749603,3554508299,4,2021,"c(-88.46346, 18.749603)",29,71.13289642333984,160.4539031982422,15.299999237060547,27.200000762939453,25.016666412353516,23.383333206176758,22,409,409,5
